2
ТОИАС start. size: 1
РЕГ start. size: 2
k: k: 0
sock for recv: 4
0
sock for recv: 5
channel from: 7
РЕГ accepted
k: 1
РЕГ finish
channel from: 6
ТОИАС accepted
ТОИАС finish
after join
after join
ТОИАС получил сообщений 9998 цепочек 9998
ТОИАС отправил сообщений 9998 цепочек 9998
Mаксимальная длина очереди: 209
РЕГ получил сообщений 19997 цепочек 9998
Mаксимальная длина очереди: 203
ТОИАС
18 1125727082108
2 1125728897737
6 1125734525806
4 1125740440943
4 1125742394389
5 1125746742852
17 1125764686201
2 1125766590897
2 1125768670672
2 1125771314052
3 1125773603745
5 1125778050191
9 1125787342083
2 1125789497991
5 1125798125788
6 1125800819108
3 1125802986823
2 1125805515024
2 1125808605003
3 1125810957302
2 1125813692039
7 1125820523523
2 1125822186227
7 1125829124342
3 1125833490561
2 1125835555158
7 1125842242017
2 1125844195106
2 1125846050996
3 1125850500588
4 1125855692145
6 1125860450505
2 1125862737824
3 1125865288579
2 1125867642674
3 1125870051103
2 1125872120512
10 1125881997533
8 1125890569548
12 1125902172837
4 1125907626902
3 1125909950176
2 1125912171804
3 1125919307983
8 1125922257556
7 1125929248817
2 1125930973825
2 1125933417992
2 1125939928580
7 1125941784113
2 1125944835991
3 1125947680920
4 1125953159183
4 1125955992481
2 1125960647708
10 1125967756230
2 1125969282023
4 1125973416501
2 1125981319114
10 1125985736609
2 1125987282851
5 1125992802085
12 1126004552965
2 1126006700299
3 1126009364639
3 1126013228649
3 1126019940565
5 1126021531406
4 1126026873776
7 1126032798236
3 1126040220886
9 1126043697448
3 1126049673161
4 1126053820851
8 1126062157464
3 1126064309507
2 1126066741305
2 1126068806615
2 1126073219312
5 1126075341118
2 1126082592984
8 1126085524366
4 1126089959229
4 1126095286960
2 1126104729253
10 1126107799851
4 1126110332116
2 1126112452879
3 1126119708799
6 1126121959580
3 1126124164776
2 1126125949606
2 1126129556625
5 1126143349729
11 1126145309310
4 1126149557332
3 1126152241706
5 1126160332630
6 1126164474988
4 1126166963162
2 1126169289800
2 1126171868690
2 1126182321634
11 1126183998150
2 1126186173817
2 1126188652752
2 1126190168693
2 1126192877686
8 1126206478039
8 1126208508708
2 1126210420754
2 1126213029917
3 1126220111608
7 1126223162994
2 1126225138053
4 1126228156339
3 1126232027911
9 1126242140158
4 1126245099778
4 1126249186058
5 1126255120961
6 1126261793318
7 1126268109218
3 1126272027115
3 1126273951542
7 1126281271207
2 1126283652241
2 1126285114692
5 1126290587406
3 1126293114663
2 1126299008135
15 1126310619931
2 1126312568367
2 1126314573773
7 1126321223568
2 1126322887022
3 1126326853390
2 1126329239545
202 1126532052470
3 1126534539204
10 1126543128380
3 1126546635402
2 1126548278848
3 1126551346479
2 1126553383269
3 1126559100838
6 1126569470077
20 1126582475737
3 1126585391838
15 1126601257092
6 1126608088588
3 1126618971371
10 1126620965217
5 1126629223305
21 1126648031717
2 1126649966078
3 1126652390191
9 1126661288460
2 1126663412333
3 1126666196611
2 1126669012383
3 1126671947828
10 1126681125233
2 1126683596459
2 1126685583867
3 1126688213085
2 1126689862084
9 1126705140251
11 1126711407926
11 1126722119225
3 1126724765856
2 1126729130747
6 1126733111835
2 1126736059505
8 1126743212792
3 1126747220703
7 1126752622189
2 1126763503415
12 1126766336422
4 1126770116911
3 1126781606930
10 1126783295160
3 1126787622976
2 1126789620107
3 1126791864845
2 1126793958273
7 1126802990601
5 1126806105026
6 1126824347311
16 1126828589741
2 1126831377697
3 1126833390746
7 1126840516757
3 1126843036187
2 1126845639911
2 1126850065033
6 1126853171559
3 1126859133727
6 1126861940768
2 1126865949013
2 1126867528277
3 1126872864507
10 1126882039123
6 1126885742429
4 1126891257922
2 1126893409950
2 1126901361007
8 1126903754050
3 1126906776585
2 1126908314084
6 1126923360695
11 1126929125742
6 1126931395698
2 1126933493922
9 1126942153404
2 1126944509438
2 1126945885309
2 1126948757952
7 1126959307495
6 1126961698322
2 1126963482169
5 1126968487515
2 1126970561056
3 1126973852269
12 1126986225916
3 1126988784107
2 1126991657609
3 1126994244702
8 1127002050050
3 1127004716269
3 1127006988219
2 1127009161026
2 1127011125039
22 1127033500557
8 1127041494684
2 1127043512537
2 1127045072060
2 1127047785602
2 1127049702712
6 1127060206099
7 1127063153401
5 1127069192435
4 1127072115767
2 1127074074363
2 1127081661208
14 1127089601918
3 1127092186101
2 1127094296281
2 1127098971876
5 1127103145386
4 1127105060370
5 1127109827226
3 1127113352104
9 1127121995048
19 1127141133855
2 1127143042828
3 1127147701205
2 1127149710912
2 1127151067020
3 1127158837674
7 1127162037906
3 1127164590857
2 1127166763207
2 1127168232575
2 1127170576006
2 1127172284840
3 1127182198730
9 1127185558989
4 1127188329883
3 1127192434807
3 1127194117373
7 1127201729198
2 1127203618914
2 1127205898001
5 1127210456721
2 1127212210979
10 1127224276973
19 1127242162678
2 1127245125394
3 1127248138031
2 1127249630688
2 1127251851038
2 1127253048689
8 1127261537466
2 1127263902478
2 1127266038744
4 1127268968416
3 1127273423251
4 1127280334689
8 1127283791876
6 1127291573571
3 1127293504239
3 1127298990406
6 1127302318452
3 1127305750969
2 1127307928629
4 1127312330003
16 1127339895881
15 1127342331437
2 1127344405301
3 1127347562123
2 1127349284719
2 1127351707244
3 1127353556563
3 1127361803626
6 1127363691573
3 1127366735260
2 1127367938153
2 1127370601399
2 1127373010361
3 1127375671895
7 1127382933659
21 1127404141542
4 1127407100315
3 1127410076200
2 1127412841530
3 1127415517475
10 1127425990732
11 1127442576501
8 1127444488060
2 1127446440774
3 1127448664075
2 1127452617605
2 1127454045110
11 1127465607120
2 1127467702077
3 1127469595215
12 1127484116537
12 1127495049050
8 1127504030361
4 1127507071858
3 1127510029597
3 1127513047006
4 1127516996701
7 1127524075561
24 1127549122923
4 1127552104929
9 1127563043853
8 1127569625027
3 1127572362925
3 1127578793186
6 1127581932676
2 1127584316347
3 1127586697740
2 1127596739390
17 1127605780686
6 1127613323472
8 1127623090695
24 1127647123780
6 1127652091800
14 1127671060960
8 1127674091112
2 1127676713163
10 1127685373916
2 1127687220456
17 1127706026411
6 1127711015560
2 1127713099823
3 1127714980863
7 1127722725632
4 1127729021551
4 1127733035254
13 1127745110103
2 1127748076743
3 1127751103937
5 1127756105835
6 1127763007402
4 1127764708368
6 1127772444823
2 1127774050430
3 1127776955096
5 1127782154282
6 1127787596102
3 1127791137560
2 1127793494465
17 1127811773211
11 1127821054572
2 1127823452179
4 1127833929026
9 1127836264730
12 1127848455495
35 1127883609046
3 1127886521574
2 1127888162511
2 1127890169394
3 1127894349194
3 1127897067526
5 1127902715723
3 1127906295093
3 1127908429468
2 1127909649800
2 1127911992173
2 1127914625618
3 1127917915001
4 1127921538576
2 1127923674292
5 1127927822850
2 1127930104604
2 1127932333192
12 1127947669188
6 1127950709123
2 1127952773408
4 1127956706988
6 1127962132849
2 1127964603989
7 1127971966650
9 1127980630349
2 1127982574209
3 1127985184352
5 1127989787763
3 1127993151146
2 1127994871230
8 1128003357443
5 1128009314383
2 1128010840588
2 1128012851679
3 1128015238385
6 1128021075668
3 1128025085313
5 1128029291903
2 1128031347456
2 1128033429919
8 1128041069353
9 1128050723132
4 1128054344521
2 1128057658607
5 1128061401060
2 1128063883852
3 1128073611136
39 1128107595156
6 1128112110531
11 1128122628126
4 1128125960471
6 1128132216265
2 1128134409831
7 1128141788111
5 1128145685654
10 1128155632089
7 1128162640818
3 1128167288473
2 1128168912212
5 1128173899885
8 1128181821719
2 1128184107709
2 1128186841767
8 1128195316942
7 1128201329072
2 1128203183445
5 1128208466419
13 1128221160041
2 1128223223845
2 1128225751243
8 1128232507935
11 1128244845404
2 1128246213487
3 1128254640232
13 1128262128363
2 1128264485955
6 1128270269590
3 1128273637320
11 1128284611970
3 1128287087938
2 1128290401078
4 1128293149996
7 1128300832711
3 1128302801174
2 1128305656578
4 1128309384442
13 1128322720243
2 1128324606671
3 1128327467339
203 1128531017046
2 1128532459569
9 1128542897990
5 1128545610819
5 1128552591599
11 1128562947811
4 1128567264481
2 1128569126117
2 1128571400373
2 1128573567524
8 1128580998307
2 1128582963992
2 1128585504266
7 1128592047518
10 1128602542485
3 1128604599216
2 1128608561198
2 1128610929638
4 1128614113082
9 1128623585626
3 1128626879415
2 1128628610055
3 1128631151007
2 1128634012792
9 1128641898419
2 1128644393634
2 1128646434284
6 1128651900855
13 1128664977511
3 1128668387878
2 1128670529263
2 1128671769483
2 1128674134196
8 1128682470533
2 1128684208938
2 1128688051083
3 1128692866167
11 1128700766212
3 1128704104279
2 1128706861950
3 1128709301366
2 1128711215635
2 1128713041623
16 1128730054777
2 1128732927131
11 1128742059001
3 1128745030593
4 1128750042477
13 1128768203472
5 1128769882630
3 1128771953382
2 1128774397781
10 1128784430043
2 1128786576188
2 1128788417164
2 1128790313183
2 1128794838718
9 1128801431617
3 1128803942280
2 1128805642883
2 1128809278314
4 1128811692188
8 1128822964312
5 1128826513425
2 1128828198529
2 1128830031050
2 1128831546770
9 1128841064490
3 1128844647012
4 1128847588419
2 1128850009913
2 1128853721237
20 1128872539883
9 1128881123984
2 1128883334099
2 1128885399751
2 1128887524569
3 1128891249508
5 1128897246676
7 1128901896015
2 1128904893304
3 1128907535236
3 1128916556864
11 1128921081565
8 1128929178088
2 1128931236329
3 1128934104091
8 1128942523485
2 1128944908641
2 1128946876819
3 1128949056386
2 1128951613937
2 1128953116249
9 1128962026315
4 1128972087841
16 1128982605893
2 1128984091035
2 1128986883351
3 1128989103895
2 1128991296114
12 1129003087846
2 1129004844050
2 1129007621527
4 1129011223892
30 1129043073467
6 1129046963649
3 1129050505529
2 1129052500870
2 1129054915396
11 1129065269367
6 1129073894676
14 1129085424160
2 1129087143939
2 1129088683828
2 1129091477795
2 1129093599490
11 1129103670854
4 1129108111647
3 1129112263852
2 1129114277476
8 1129121870986
7 1129140599836
14 1129142680010
3 1129147413363
2 1129149653854
3 1129152347736
9 1129161347233
4 1129164751341
17 1129182431512
2 1129184483144
3 1129187343322
3 1129199804942
12 1129204856208
5 1129206743987
3 1129210310227
2 1129211956834
9 1129221646433
2 1129223293177
3 1129226522211
5 1129234478358
32 1129263818151
7 1129269878829
15 1129285944925
3 1129288361222
3 1129291172931
2 1129293448733
20 1129313787622
12 1129324767661
2 1129326924982
2 1129329151692
2 1129330804867
31 1129362205239
2 1129363769275
2 1129365741644
4 1129369678343
2 1129371736683
13 1129384972185
3 1129387762697
2 1129390200690
2 1129392928672
9 1129404019813
9 1129410089943
11 1129423973309
6 1129428037179
3 1129429920673
5 1129435036295
7 1129442007614
6 1129448959688
3 1129451376386
11 1129462596718
3 1129464977980
2 1129468164536
4 1129471498584
14 1129485390508
2 1129486653500
4 1129491302153
9 1129501373881
22 1129523228656
2 1129524718643
4 1129528895912
2 1129531096324
13 1129545978670
7 1129551030915
9 1129562020447
5 1129567020657
3 1129569431987
18 1129587157689
4 1129590795691
4 1129595330619
9 1129604056414
18 1129624061339
5 1129628031882
3 1129631009084
3 1129634025615
16 1129649412501
3 1129652365030
2 1129655542718
10 1129663841396
38 1129704037127
5 1129708943721
4 1129712041762
3 1129716395986
10 1129740637737
26 1129753970694
17 1129775372117
14 1129781464991
4 1129791859396
16 1129801371400
4 1129804675625
2 1129806782432
3 1129810097298
2 1129812386171
10 1129821757294
3 1129826192197
2 1129828332058
2 1129830193430
2 1129832056369
15 1129847331067
20 1129867342414
3 1129869638055
3 1129873376731
11 1129883986266
17 1129902524532
4 1129905470410
2 1129907912732
2 1129910260215
3 1129912088247
12 1129923905594
2 1129926052700
3 1129928410834
2 1129933641455
14 1129947021613
3 1129950902334
6 1129954694556
7 1129961825431
2 1129964153386
2 1129965850217
3 1129969223681
3 1129971317827
9 1129981099768
6 1129986988790
2 1129991618563
13 1130001711377
2 1130004676876
3 1130007492702
2 1130010661444
2 1130012211938
2 1130014690200
12 1130026031797
2 1130027997202
2 1130030199973
2 1130032427900
10 1130042114960
2 1130044543710
4 1130047683427
6 1130053461440
13 1130068967662
5 1130073951032
9 1130082193256
21 1130103966403
6 1130107873972
3 1130110783913
16 1130127495608
4 1130130778548
2 1130133201607
9 1130141884873
4 1130146172280
3 1130149037291
3 1130152259427
10 1130162800734
2 1130165009395
3 1130166867241
4 1130171484989
3 1130173592347
9 1130183738891
5 1130188108797
3 1130190761019
13 1130204907752
3 1130206814601
4 1130211110671
2 1130213035803
8 1130221607239
2 1130224128160
7 1130230722630
2 1130232648842
9 1130241373678
3 1130243936637
2 1130246311177
2 1130247981663
4 1130251918194
10 1130262906734
3 1130264955894
3 1130268144658
2 1130270224345
2 1130272590964
11 1130283162546
2 1130285022884
2 1130287096122
5 1130291981038
12 1130303418611
3 1130306710926
3 1130310025724
2 1130312174979
9 1130321200317
5 1130327279296
15 1130341830116
5 1130346890050
2 1130348699692
3 1130351877389
12 1130364475620
2 1130365984161
2 1130369152275
3 1130371669529
3 1130373570754
11 1130385047905
2 1130387004011
2 1130389576636
17 1130406279227
2 1130407568157
2 1130411978238
2 1130413246031
5 1130418499941
2 1130421969372
4 1130425924924
4 1130429929004
14 1130443974161
4 1130447387812
2 1130448621570
2 1130451718128
8 1130461930157
3 1130464339940
2 1130465883950
2 1130468601351
2 1130471581016
9 1130481272915
3 1130486125611
2 1130487969468
2 1130490504114
9 1130503520977
7 1130507816086
2 1130509717585
2 1130512619978
6 1130519961938
2 1130521572150
2 1130524286291
2 1130529534388
2 1130535509149
9 1130541323410
2 1130544796382
2 1130547517979
2 1130550970792
2 1130552774111
9 1130565050428
6 1130567250428
2 1130571905840
4 1130575915233
7 1130581458317
3 1130586101259
3 1130589950886
5 1130595457208
9 1130605754967
9 1130612033419
2 1130613494720
6 1130620449805
4 1130624185194
2 1130626307985
16 1130642414409
2 1130644174186
8 1130652152627
18 1130669598879
3 1130672716857
10 1130683154928
2 1130685077013
16 1130700636990
13 1130713602918
16 1130731979322
13 1130743941819
3 1130746018487
2 1130748630505
6 1130753531240
14 1130767643057
14 1130781918899
2 1130783608891
2 1130785425185
2 1130787512569
2 1130790229436
4 1130793472768
11 1130805143703
4 1130810650445
13 1130822349174
3 1130825302827
2 1130827345864
2 1130829324293
2 1130830992651
2 1130832972676
12 1130844928376
2 1130846762205
2 1130849331190
3 1130851614161
2 1130853187978
7 1130861116662
2 1130863077697
2 1130865294922
17 1130882223810
4 1130886188519
3 1130889132926
2 1130891521705
2 1130892831837
9 1130901772224
6 1130907850894
6 1130918657571
13 1130927096559
3 1130929933151
2 1130931581344
10 1130942005528
4 1130946560863
4 1130952773184
12 1130962612788
3 1130969527446
7 1130975789044
11 1130982930034
4 1130986673756
2 1130989335441
3 1130992023676
9 1131000703622
2 1131002815248
7 1131010043161
3 1131015173543
10 1131022719381
2 1131025985325
3 1131028211091
2 1131029501519
2 1131032082005
11 1131042943984
2 1131047477400
5 1131050642380
3 1131052611325
10 1131062672777
2 1131064750315
2 1131067858927
6 1131073943865
11 1131085933920
3 1131088123026
3 1131096227679
12 1131103922670
3 1131105986240
6 1131112928815
12 1131123964532
3 1131126969711
2 1131129697348
2 1131131204589
10 1131141212657
2 1131143259895
2 1131145018440
2 1131149863872
5 1131151886887
9 1131160804189
2 1131163057752
3 1131165454711
2 1131167837657
2 1131170329647
12 1131182065887
3 1131185460238
3 1131188058927
3 1131190443058
2 1131193094176
9 1131201834984
3 1131206051496
3 1131208218033
6 1131213622797
14 1131229293020
3 1131232821987
10 1131241128920
2 1131243642636
3 1131252306259
19 1131267014898
4 1131269966675
3 1131272967387
12 1131284448236
2 1131286422004
3 1131289064374
2 1131291805855
3 1131293606786
12 1131305934554
3 1131310354282
3 1131312244170
14 1131327325056
2 1131328486467
4 1131332400121
9 1131341820635
2 1131344027488
2 1131346092267
3 1131349637231
2 1131351453184
5 1131356089186
5 1131361690306
3 1131363510944
2 1131365700771
6 1131372088046
9 1131380725634
2 1131382570903
2 1131384951295
2 1131386862231
4 1131391536267
8 1131401449822
3 1131404300502
4 1131408348768
5 1131414231271
12 1131428432309
6 1131430473774
10 1131440762364
2 1131446123652
21 1131465000078
4 1131467979283
2 1131469667410
2 1131471760568
9 1131480306019
4 1131484452885
6 1131491646186
10 1131500803873
2 1131502918182
2 1131504788700
2 1131508256278
2 1131510321140
2 1131512130797
9 1131521084456
2 1131522815809
9 1131532072441
10 1131542092480
10 1131551604994
9 1131561889585
2 1131564365550
3 1131567176948
2 1131569530766
2 1131571459802
3 1131574176615
12 1131586135949
5 1131591124936
15 1131607283444
3 1131609763669
2 1131612599103
10 1131622189999
2 1131624161158
4 1131629882356
15 1131643102841
3 1131650376848
23 1131669192119
3 1131671550618
8 1131680783728
2 1131682735367
2 1131685538137
3 1131688608826
20 1131707967232
2 1131710273819
2 1131711792167
7 1131719449492
3 1131721582493
3 1131724475488
15 1131740552508
2 1131742469404
18 1131761130221
4 1131765462341
3 1131767963774
2 1131770346535
2 1131771885664
10 1131781482497
3 1131785120435
3 1131787710691
18 1131806419379
4 1131809939029
3 1131813516857
8 1131821394382
3 1131823756424
5 1131828499729
2 1131830529423
10 1131840579241
3 1131844064008
2 1131850201401
6 1131855226927
10 1131862625648
6 1131868336978
3 1131871123393
2 1131873098495
9 1131882492288
3 1131884860790
2 1131887596762
4 1131890809372
2 1131893312972
29 1131922177421
2 1131923945166
2 1131925976225
5 1131931097316
14 1131945006804
2 1131947077543
2 1131949049351
2 1131951325124
12 1131963186133
3 1131965798050
5 1131970553107
3 1131973216221
8 1131982230144
3 1131984682776
2 1131986937977
2 1131988996261
2 1131991263849
3 1131993456156
20 1132016072693
7 1132021505201
3 1132023677574
2 1132025751741
2 1132027794717
4 1132031797354
12 1132044037643
2 1132045968529
4 1132054318106
13 1132063997139
7 1132071860470
15 1132085772305
3 1132087786848
2 1132089678798
10 1132100599307
20 1132121079346
2 1132123486968
2 1132125474487
3 1132127509446
2 1132130000647
4 1132133790915
15 1132148586642
2 1132150641766
2 1132152845596
8 1132161211433
3 1132163367109
2 1132167071749
2 1132168983599
13 1132181586405
2 1132184366771
2 1132186530476
3 1132189342709
2 1132190816539
2 1132193809698
12 1132206164545
3 1132208352609
3 1132210584960
2 1132212793175
9 1132222001504
6 1132227690332
5 1132232881139
10 1132248100131
8 1132251261515
2 1132252876632
10 1132262856839
7 1132269932898
3 1132276170941
9 1132281752930
4 1132286929167
2 1132288877486
2 1132290762021
2 1132292849998
12 1132305089731
6 1132311369157
3 1132313783295
8 1132322233219
2 1132324355102
3 1132327979259
5 1132332622282
21 1132354073220
9 1132362284486
3 1132364817185
2 1132368701258
4 1132370537090
2 1132372630620
15 1132387720394
2 1132389312012
12 1132401657372
3 1132404726727
18 1132423983824
10 1132433002494
10 1132443973543
3 1132445906609
15 1132460887449
2 1132463119611
2 1132464916093
4 1132468548289
16 1132485295039
4 1132490514397
11 1132501857866
3 1132504933515
4 1132508772203
12 1132521142425
3 1132523648235
2 1132526099808
2 1132527686559
2 1132529923982
14 1132543697361
3 1132546667963
2 1132554891812
13 1132562541070
2 1132564102411
4 1132568475303
3 1132570580867
2 1132573274877
14 1132587016999
2 1132588487993
209 1132800848214
5 1132802765947
2 1132804976027
2 1132806945646
2 1132808571818
2 1132810874470
11 1132822086376
2 1132824410379
2 1132826123007
2 1132827705313
3 1132834725909
11 1132842261097
3 1132844853362
3 1132847569214
18 1132866046173
2 1132868341770
4 1132872016456
10 1132882382982
4 1132886331973
6 1132891786067
10 1132902199641
2 1132903899193
3 1132908105466
2 1132909668266
4 1132913994105
12 1132925465961
2 1132932388385
13 1132940929656
6 1132947189926
2 1132949046110
5 1132953409719
14 1132968141304
2 1132970412927
4 1132973787595
8 1132982488317
3 1132985743716
3 1132987664637
14 1133001490852
2 1133006047233
5 1133011513015
17 1133025522680
2 1133029104075
4 1133032507226
10 1133042732835
8 1133050868062
18 1133068427555
3 1133071739633
11 1133083062313
2 1133084555795
4 1133089139091
21 1133109817017
10 1133121420556
7 1133130394809
5 1133132619030
11 1133144138859
3 1133147130648
5 1133151343686
30 1133182233406
2 1133183879976
2 1133186347750
4 1133189561836
2 1133191785770
2 1133198124613
10 1133203930705
2 1133205586388
2 1133207526921
2 1133209618636
2 1133211983382
18 1133230314437
12 1133241762211
2 1133243898207
3 1133246925954
5 1133251352241
17 1133271935942
13 1133282031349
2 1133283913002
2 1133285627499
2 1133287830639
2 1133289941486
12 1133301705454
2 1133303618288
2 1133306366233
3 1133308204520
4 1133312569579
11 1133324026244
4 1133327400343
13 1133341288183
2 1133342853554
